,num,artists,name,album,genre,duration_ms,explicit,id,track_number,is_local,popularity,available_markets,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1137,1138,Dua Lipa,Kiss and Make Up,Dua Lipa (Complete Edition),dance pop,189173,False,7jr3iPu4O4bTCVwLMbdU2i,20,False,75,181,0.0658,0.678,0.729,0.0,0.303,-4.188,0.137,99.895,0.643
1138,1139,David Bowie,Starman - 2012 Remaster,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),art rock,254293,False,0pQskrTITgmCMyr85tb9qq,4,False,76,184,0.166,0.486,0.449,2.23e-06,0.54,-10.298,0.0267,100.456,0.549
1139,1140,GAMPER & DADONI,Bittersweet Symphony (feat. Emily Roberts),Bittersweet Symphony (feat. Emily Roberts),deep house,194618,False,6sYJuVcEu4gFHmeTLdHzRz,1,False,67,162,0.221,0.676,0.582,0.00627,0.515,-7.58,0.128,124.012,0.447
1140,1141,Sam Feldt,Post Malone (feat. RANI),Magnets EP,dance pop,174444,False,0qc4QlcCxVTGyShurEv1UU,5,False,73,184,0.0771,0.59,0.642,0.0,0.105,-3.87,0.122,107.356,0.651
1141,1142,Avicii,The Nights,The Days / Nights,dance pop,176658,False,0ct6r3EGTcMLPtrXHDvVjc,2,False,87,184,0.0166,0.527,0.835,0.0,0.249,-5.298,0.0433,125.983,0.654
1142,1143,Yolanda Be Cool,We No Speak Americano - Radio Edit,We No Speak Americano (Yolanda Be Cool vs. DCUP) (Remixes Vol. 1),australian dance,178560,False,2xubE2q3ksG0Xh8duZCTjf,1,False,0,0,0.0901,0.925,0.709,0.127,0.0953,-5.398,0.0601,125.01,0.649
1143,1144,Tokyo Machine,EPIC,EPIC,gaming edm,218437,False,5O7KOryUNhEK5ev7OLWUGe,1,False,49,184,0.00367,0.623,0.964,0.665,0.0972,-2.631,0.061,128.024,0.547
1144,1145,OK Go,I Won't Let You Down,Hungry Ghosts,alternative rock,222440,False,5v2snXqNEVtKxsJy5YBVfV,8,False,51,183,0.0257,0.755,0.915,0.0,0.0351,-3.505,0.105,113.986,0.7
1145,1146,Beach Bunny,Painkiller,Prom Queen,bubblegrunge,216146,False,78j9wYboWAkB0UxVVq0X0H,2,False,65,184,0.000272,0.371,0.778,0.000311,0.169,-7.969,0.0497,122.719,0.482
1146,1147,Summer Kennedy,Oh My My,The Bright Side,pop,221797,False,5fISS3C2UjRiK3g6Ru8dd5,5,False,0,0,0.00138,0.683,0.956,0.000978,0.247,-5.067,0.143,98.026,0.389
